from_Indicator,Relation,to_chemicals,CAS
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,"Tetrachlorotetrafluoropropane 
1,2,2,3-Tetrachloro-1,1,3,3-tetrafluoropropane 
1,1,1,3-Tetrachloro-2,2,3,3-tetrafluoropropane","29255-31-0
2268-46-4
-"
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,"Trichloropentafluoropropane 
1,2,2-Trichloropentafluoropropane 
1,2,3-Trichloropentafluoropropane 
1,1,2-Trichloropentafluoropropane 
1,1,3-Trichloropentafluoropropane 
1,1,1-Trichloropentafluoropropane","1599-41-3
1599-41-3
76-17-5
-
-
4259-43-2"
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Dichlorohexafluoropropane,661-97-2
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Chloroheptafluoropropane,422-86-6
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Bromochloromethane,74-97-5
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Dibromodifluoromethane,75-61-6
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Bromochlorodifluoromethane,353-59-3
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Bromotrifluoromethane,75-63-8
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Dibromotetrafluoroethane,124-73-2
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Tetrachloromethane,56-23-5
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,"1,1,1-Trichloroethane",71-55-6
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Bromomethane,74-83-9
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Bromoethane,74-96-4
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Trifluoroiodomethane,2314-97-8
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Chloromethane,74-87-3
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Dibromofluoromethane,1868-53-7
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Bromodifluoromethane,1511-62-2
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Bromofluoromethane,373-52-4
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Tetrabromofluoroethane,306-80-9
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Tribromodifluoroethane,-
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Dibromotrifluoroethane,354-04-1
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Bromotetrafluoroethane,124-72-1
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Tribromofluoroethane,-
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Dibromodifluoroethane,75-82-1
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Bromotrifluoroethane,421-06-7
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Dibromofluoroethane,358-97-4
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Bromodifluoroethane,420-47-3
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Bromofluoroethane,762-49-2
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Hexabromofluoropropane,-
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Pentabromodifluoropropane,-
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Tetrabromotrifluoropropane,-
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Tribromotetrafluoropropane,-
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Dibromopentafluoropropane,431-78-7
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Bromohexafluoropropane,2252-78-0
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Pentabromofluoropropane,-
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Tetrabromodifluoropropane,-
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Tribromotrifluoropropane,-
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Dibromotetrafluoropropane,-
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Bromopentafluoropropane,460-88-8
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Tetrabromofluoropropane,-
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Tribromodifluoropropane,70192-80-2
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Dibromotrifluoropropane,431-21-0
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Bromotetrafluoropropane,679-84-5
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Tribromofluoropropane,75372-14-4
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Dibromodifluoropropane,460-25-3
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Bromotrifluoropropane,421-46-5
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Dibromofluoropropane,51584-26-0
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Bromodifluoropropane,-
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Bromofluoropropane,1871-72-3
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Dichlorofluoromethane,75-43-4
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Chlorodifluoromethane,75-45-6
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,Chlorofluoromethane,593-70-4
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,"Tetrachlorofluoroethane 
1,1,2,2-Tetrachloro-1-fluoroethane 
1,1,1,2-Tetrachloro-2-fluoroethane","134237-32-4
354-14-3
354-11-0"
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,"Trichlorodifluoroethane
1,2,2-Trichloro-1,1-difluoroethane 
1,1,2-Trichloro-1,2-difluoroethane 
1,1,1-Trichloro-2,2-difluoroethane","41834-16-6
354-21-2
354-15-4
354-12-1"
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,"Dichlorotrifluoroethane
1,1-Dichloro-2,2,2-trifluoroethane 
1,2-Dichloro-1,1,2-trifluoroethane 
1,1-Dichloro-1,2,2-trifluoroethane","34077-87-7
306-83-2
354-23-4
90454-18-5
812-04-4"
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,"Chlorotetrafluoroethane 
2-chloro-1,1,1,2-tetrafluoroethane 
1-chloro-1,1,2,2-tetrafluoroethane","63938-10-3
2837-89-0
354-25-6"
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,"Trichlorofluoroethane 
1,1,2-Trichloro-2-fluoroethane 
1,1,2-Trichloro-1-fluoroethane
1,1,1-Trichloro-2-fluoroethane","27154-33-2;
(134237-34-6)
359-28-4
811-95-0
2366-36-1"
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,"Dichlorodifluoroethane 
1,2-Dichloro-1,2-difluoroethane
1,1-Dichloro-2,2-difluoroethane
1,2-Dichloro-1,1-difluoroethane 
1,1-Dichloro-1,2-difluoroethane","25915-78-0
431-06-1
471-43-2
1649-08-7
1842-05-3"
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,"Chlorotrifluoroethane
1-Chloro-1,2,2-trifluoroethane 
2-Chloro-1,1,1-trifluoroethane 
1-Chloro-1,1,2-trifluoroethane","1330-45-6
431-07-2
1330-45-6
75-88-7
421-04-5"
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,"Dichlorofluoroethane
1,2-Dichloro-1-fluoroethane 
1,1-Dichloro-2-fluoroethane 
1,1-Dichloro-1-fluoroethane","1717-00-6;
(25167-88-8)
430-57-9
430-53-5
1717-00-6"
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,"Chlorodifluoroethane
2-Chloro-1,1-Difluoroethane 
1-Chloro-1,1-difluoroethane
1-Chloro-1,2-difluoroethane","25497-29-4
338-65-8
75-68-3
338-64-7"
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,"Chlorofluoroethane 
1-Chloro-2-fluoroethane 
1-Chloro-1-fluoroethane","110587-14-9
762-50-5
1615-75-4"
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,"Hexachlorofluoropropane 
1,1,1,2,2,3-Hexachloro-3-fluoropropane","134237-35-7
29470-94-8
422-26-4"
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,"Pentachlorodifluoropropane 
1,1,1,3,3-pentachloro-2,2-difluoropropane 
1,2,2,3,3-pentachloro-1,1-difluoropropane","134237-36-8
422-49-1
422-30-0"
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,"Tetrachlorotrifluoropropane 
1,1,3,3-Tetrachloro-1,2,2-trifluoropropane 
1,1,1,3-Tetrachloro-2,2,3-trifluoropropane","134237-37-9
422-52-6
422-50-4"
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,"Trichlorotetrafluoropropane 
1,3,3-Trichloro-1,1,2,2-tetrafluoropropane 
1,1,3-Trichloro-1,2,2,3-tetrafluoropropane 
1,1,1-Trichloro-2,2,3,3-tetrafluoropropane","134237-38-0
, 422-54-8
, 422-53-7, 422-51-5"
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,"Dichloropentafluoropropane 
2,2-Dichloro-1,1,1,3,3-pentafluoropropane
2,3-Dichloro-1,1,1,2,3-pentafluoropropane 
1,2-Dichloro-1,1,2,3,3-pentafluoropropane 
3,3-Dichloro-1,1,1,2,2-pentafluoropropane 
1,3-Dichloro-1,1,2,2,3-pentafluoropropane 
1,1-Dichloro-1,2,2,3,3-pentafluoropropane
1,2-Dichloro-1,1,3,3,3-pentafluoropropane 
1,3-Dichloro-1,1,2,3,3-pentafluoropropane 
1,1-Dichloro-1,2,3,3,3-pentafluoropropane","127564-92-5
128903-21-9
422-48-0
422-44-6
422-56-0
507-55-1
13474-88-9
431-86-7
136013-79-1
111512-56-2"
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,"Chlorohexafluoropropane 
2-Chloro-1,1,1,3,3,3-hexafluoro-propane","134308-72-8
431-87-8"
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,"Pentachlorofluoropropane 
1,1,1,2,3-pentachloro-2-fluoro-propane","134190-48-0
421-94-3"
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,"Tetrachlorodifluoropropane 
1,1,1,3-Tetrachloro-3,3-difluoropropane","134237-39-1
460-89-9"
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,"Trichlorotrifluoropropane
1,1,1-Trichloro-3,3,3-trifluoropropane","134237-40-4
7125-83-9"
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,"Dichlorotetrafluoropropane 
1,2-Dichloro-1,2,3,3-tetrafluoropropane","127564-83-4
425-94-5"
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,"Chloropentafluoropropane
1-Chloro-1,1,3,3,3-pentafluoropropane","134237-41-5
460-92-4"
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,"Tetrachlorofluoropropane 
1,1,2,3-Tetrachloro-1-fluoropropane","134190-49-1
666-27-3"
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,"Trichlorodifluoropropane 
1,3,3,Trichloro-1,1-difluoropropane","134237-42-6
460-63-9"
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,"Dichlorotrifluoropropane 
1,1-Dichloro-1,2,2-trifluoropropane 
2,3-Dichloro-1,1,1-trifluoropropane 
3,3-Dichloro-1,1,1-trifluoropropane","134237-43-7
7125-99-7
338-75-0
460-69-5"
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,"Chlorotetrafluoropropane
3-Chloro-1,1,2,2-tetrafluoropropane 
1-Chloro-1,1,2,2-tetrafluoropropane","134190-50-4
679-85-6
421-75-0"
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,"Trichlorofluoropropane 
1,1,3-Trichloro-1-fluoropropane 
1,1,2-Trichloro-1-fluoropropane","134190-51-5
818-99-5
421-41-0"
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,"Dichlorodifluoropropane
1,3-Dicloro-1,1-difluoropropane","134190-52-6
819-00-1"
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,"Chlorotrifluoropropane 
3-Chloro-1,1,1-trifluoropropane","134237-44-8
460-35-5"
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,"Dichlorofluoropropane 
1,1-Dichloro-1-fluoropropane
1,2-Dichloro-2-fluoro-propane","134237-45-9
7799-56-6
420-97-3"
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,"Chlorodifluoropropane 
1-Chloro-2,2-difluoropropane 
2-Chloro-1,3-difluoropropane 
1-Chloro-1,1-difluoropropane","134190-53-7
420-99-5
102738-79-4
421-02-3"
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",INCLUDE,"Chlorofluoropropane
2-Chloro-2-fluoropropane
1-Chloro-1-fluoropropane","134190-54-8
420-44-0
430-55-7"
Perchlorates,INCLUDE,Lithium Perchlorate,7791-03-9
Perchlorates,INCLUDE,Ammonium perchlorate,7790-98-9
Perchlorates,INCLUDE,Barium perchlorate,13465-95-7
Perchlorates,INCLUDE,Lead perchlorate,13637-76-8
Perchlorates,INCLUDE,Magnesium Perchlorate,10034-81-8
Perchlorates,INCLUDE,"Perchloric acid, cobalt (2+) salt",13455-31-7
Perchlorates,INCLUDE,"Perchloric acid, mercury(2+) salt",7616-83-3
Perchlorates,INCLUDE,"Perchloric acid, nickel(2+) salt, hexahydrate",13520-61-1
Perchlorates,INCLUDE,Nickel perchlorate,13637-71-3
Perchlorates,INCLUDE,Potassium Perchlorate,7778-74-7
Perchlorates,INCLUDE,Sodium Perchlorate,7601-89-0
Perchlorates,INCLUDE,Thallium(3+) perchlorate,15596-83-5
Perfluorooctane sulfonates (PFOS),INCLUDE,"2-Propenoic acid, 2-methyl-, dodecyl ester, polymers with 2-[methyl[(perfluoro-C4-8-alkyl)- sulfonyl]amino]ethyl acrylate and vinylidene chloride",306975-62-2
The sum of Perfluorooctane sulfonates (PFOS),INCLUDE,"Glycine, N-ethyl-N-[(heptadecafluorooctyl)sulfonyl]-, potassium salt",2991-51-7
"The sum of Phthalates, Selected Group 1 (DEHP, DBP, BBP, DIBP)",INCLUDE,Benzyl butyl phthalate (BBP),85-68-7
"The sum of Phthalates, Selected Group 1 (DEHP, DBP, BBP, DIBP)",INCLUDE,Dibutyl phthalate (DBP),84-74-2
"The sum of Phthalates, Selected Group 1 (DEHP, DBP, BBP, DIBP)",INCLUDE,Bis (2-ethylhexyl) phthalate (DEHP),117-81-7
"The sum of Phthalates, Selected Group 1 (DEHP, DBP, BBP, DIBP)",INCLUDE,Diisobutyl phthalate (DIBP),84-69-5
"The sum of Phthalates, Selected Group 2 (DIDP, DINP, DNOP)",INCLUDE,Diisodecycl phthalate (DIDP),"26761-40-0
68515-49-1"
"The sum of Phthalates, Selected Group 2 (DIDP, DINP, DNOP)",INCLUDE,Diisononyl phthalate (DINP),"28553-12-0
68515-48-0"
"The sum of Phthalates, Selected Group 2 (DIDP, DINP, DNOP)",INCLUDE,Di-n-octyl phthalate (DNOP),117-84-0
Polybrominated biphenyls (PBB),INCLUDE,Polybrominated Biphenyls,59536-65-1
Polybrominated biphenyls (PBB),INCLUDE,Dibromobiphenyl,92-86-4
Polybrominated biphenyls (PBB),INCLUDE,2-Bromobiphenyl,2052-07-5
Polybrominated biphenyls (PBB),INCLUDE,3-Bromobiphenyl,2113-57-7
Polybrominated biphenyls (PBB),INCLUDE,4-Bromobiphenyl,92-66-0
Polybrominated biphenyls (PBB),INCLUDE,Tribromobiphenyl,59080-34-1
Polybrominated biphenyls (PBB),INCLUDE,Tetrabromobiphenyl,40088-45-7
Polybrominated biphenyls (PBB),INCLUDE,Pentabrphenyl,56307-79-0
Polybrominated biphenyls (PBB),INCLUDE,Hexabromobiphenyl,59080-40-9
Polybrominated biphenyls (PBB),INCLUDE,"hexabromo-1,1-biphenyl",36355-01-8
Polybrominated biphenyls (PBB),INCLUDE,Firemaster FF-1,67774-32-7
Polybrominated biphenyls (PBB),INCLUDE,Heptabromobiphenyl,35194-78-6
Polybrominated biphenyls (PBB),INCLUDE,Octabromobiphenyl,61288-13-9
Polybrominated biphenyls (PBB),INCLUDE,Nonabromobiphenyl,27753-52-2
Polybrominated biphenyls (PBB),INCLUDE,Decabromobiphenyl,13654-09-6
Polybrominated diphenyl ethers (PBDE),INCLUDE,Bromodiphenyl  ether,101-55-3
Polybrominated diphenyl ethers (PBDE),INCLUDE,Dibromodiphenyl ethers,2050-47-7
Polybrominated diphenyl ethers (PBDE),INCLUDE,Tribromodiphenyl ether,49690-94-0
Polybrominated diphenyl ethers (PBDE),INCLUDE,Tetrabromodiphenyl ethers,40088-47-9
Polybrominated diphenyl ethers (PBDE),INCLUDE,Hexabromodiphenyl ether,36483-60-0
Polybrominated diphenyl ethers (PBDE),INCLUDE,Heptabromodiphenylether,68928-80-3
Polybrominated diphenyl ethers (PBDE),INCLUDE,Nonabromodiphenylether,63936-56-1
Polybrominated diphenyl ethers (PBDE),INCLUDE,Decabromodiphenyl  ether,1163-19-5
Polybrominated diphenyl ethers (PBDE),INCLUDE,Pentabromodiphenyl ether,32534-81-9
Polybrominated diphenyl ethers (PBDE),INCLUDE,Octabromodiphenyl ether,32536-52-0
Polychlorinated Biphenyls (PCBs) and specific substitutes,INCLUDE,Polychlorinated Biphenyls (all isomers and congeners),1336-36-3
Polychlorinated Biphenyls (PCBs) and specific substitutes,INCLUDE,Monomethyl-tetrachloro-diphenyl methane,76253-60-6
Polychlorinated Biphenyls (PCBs) and specific substitutes,INCLUDE,Monomethyl-dichloro-diphenyl methane,81161-70-8
Polychlorinated Biphenyls (PCBs) and specific substitutes,INCLUDE,Monomethyl-dibromo-diphenyl methane (DBBT),99688-47-8
Polychlorinated Terphenyls (PCTs),INCLUDE,Polychlorinated Terphenyls (PCT) (all isomers and congeners),61788-33-8
Polychlorinated naphthalenes,INCLUDE,"Naphthalene, chloro derivatives",70776-03-3
Radioactive substances,INCLUDE,Uranium-238,7440-61-1
Radioactive substances,INCLUDE,Radon,10043-92-2
Radioactive substances,INCLUDE,Americium-241,14596-10-2
Radioactive substances,INCLUDE,Thorium-232,7440-29-1
Radioactive substances,INCLUDE,Cesium-137,10045-97-3
Radioactive substances,INCLUDE,Strontium-90,10098-97-2
Radioactive substances,INCLUDE,Other radioactive substances,-
"Alkanes, C10-13, chloro (Short Chain Chlorinated Paraffins)",INCLUDE,"Alkanes, C10-13, chloro",85535-84-8
"Alkanes, C10-13, chloro (Short Chain Chlorinated Paraffins)",INCLUDE,"Alkanes, C10-12, chloro",108171-26-2
"Alkanes, C10-13, chloro (Short Chain Chlorinated Paraffins)",INCLUDE,"Alkanes, C12-13, chloro",71011-12-6
"Alkanes, C10-13, chloro (Short Chain Chlorinated Paraffins)",INCLUDE,"Alkanes, chloro",61788-76-9
"Alkanes, C10-13, chloro (Short Chain Chlorinated Paraffins)",INCLUDE,Other Short Chain Chlorinated Paraffins,-
Tri-substituted organostannic compounds,INCLUDE,"Triphenyltin-N, N-dimethyldithiocarbamate",1803-12-9
Tri-substituted organostannic compounds,INCLUDE,Triphenyltinfluoride,379-52-2
Tri-substituted organostannic compounds,INCLUDE,Triphenyltinacetate,900-95-8
Tri-substituted organostannic compounds,INCLUDE,Triphenyltinchloride,639-58-7
Tri-substituted organostannic compounds,INCLUDE,Triphenyltinhydroxide,76-87-9
Tri-substituted organostannic compounds,INCLUDE,Triphenyltin fattyacid((9-11)salt),"18380-71-7
18380-72-8
47672-31-1
94850-90-5"
Tri-substituted organostannic compounds,INCLUDE,Triphenyltinchloroacetate,7094-94-2
Tri-substituted organostannic compounds,INCLUDE,Tributyltinmethacrylate,2155-70-6
Tri-substituted organostannic compounds,INCLUDE,Bis(tributyltin)fumalate,6454-35-9
Tri-substituted organostannic compounds,INCLUDE,Tributyltinfluoride,1983-10-4
Tri-substituted organostannic compounds,INCLUDE,"Bis(tributyltin)2,3-dibromosuccinate",31732-71-5
Tri-substituted organostannic compounds,INCLUDE,Tributyltinacetate,56-36-0
Tri-substituted organostannic compounds,INCLUDE,Tributyltinlaurate,3090-36-6
Tri-substituted organostannic compounds,INCLUDE,Bis(tributyltin)phthalate,4782-29-0
Tri-substituted organostannic compounds,INCLUDE,"Copolymer of alkyl(c=8) acrylate,methyl methacrylate and tributyltin methacrylate",67772-01-4
Tri-substituted organostannic compounds,INCLUDE,Tributyltinsulfamate,6517-25-5
Tri-substituted organostannic compounds,INCLUDE,Bis(tributyltin)maleate,14275-57-1
Tri-substituted organostannic compounds,INCLUDE,Tributyltinchloride,"1461-22-9
7342-38-3"
Tri-substituted organostannic compounds,INCLUDE,Tributyltin cyclopentane carbonate=mixture,85409-17-2
Tri-substituted organostannic compounds,INCLUDE,"Tributyltin-1, 2,3,4,4a, 4b, 5,6,10,10a-decahydro-7-isoplopyl-1, 4a-dimethyl-1-phenanthrencarboxylatemix",26239-64-5
Tri-substituted organostannic compounds,INCLUDE,Other tri-substituted organostannic compounds,-
Chlorinated Flame Retardants (CFR),INCLUDE,Tetrakis(2-chloroethyl)dichloroisopentyldiphosphate,38051-10-4
Chlorinated Flame Retardants (CFR),INCLUDE,Tris(1-chloro-2-propyl)phosphate,13674-84-5
Chlorinated Flame Retardants (CFR),INCLUDE,"Tris(2,3-dichloro-1-propyl)phosphate",66108-37-0
Chlorinated Flame Retardants (CFR),INCLUDE,Other Chlorinated Flame Retardants,-
"4-Nonylphenol, branched and linear, ethoxylated",INCLUDE,"Poly(oxy-1,2-ethanediyl), ��-(4-nonylphenyl)-��-hydroxy-",26027-38-3
"4-Nonylphenol, branched and linear, ethoxylated",INCLUDE,"Ethanol, 2-[2-[2-[2-(4-nonylphenoxy)ethoxy]ethoxy]ethoxy]-",7311-27-5
"4-Nonylphenol, branched and linear, ethoxylated",INCLUDE,"Ethanol, 2-[2-(4-nonylphenoxy)ethoxy]-",20427-84-3
"4-Nonylphenol, branched and linear, ethoxylated",INCLUDE,"3,6,9,12,15-Pentaoxaheptadecan-1-ol,17-(4-nonylphenoxy)-",34166-38-6
"4-Nonylphenol, branched and linear, ethoxylated",INCLUDE,"3,6,9,12,15,18-Hexaoxaeicosan-1-ol, 20-(4-nonylphenoxy)-",27942-27-4
"4-Nonylphenol, branched and linear, ethoxylated",INCLUDE,"3,6,9,12,15,18,21,24-Octaoxahexacosan-1-ol,26-(4-nonylphenoxy)-",14409-72-4
Hexahydromethylphthalic anhydride,INCLUDE,Hexahydromethylphthalic anhydride,25550-51-0
Hexahydromethylphthalic anhydride,INCLUDE,Hexahydro-4-methylphthalic anhydride,19438-60-9
Hexahydromethylphthalic anhydride,INCLUDE,Hexahydro-1-methylphthalic anhydride,48122-14-1
Hexahydromethylphthalic anhydride,INCLUDE,Hexahydro-3-methylphthalic anhydride,57110-29-9
"4-Nonylphenol, branched and linear, ethoxylated",INCLUDE,"Ethanol, 2-(4-nonylphenoxy)-",104-35-8
"4-Nonylphenol, branched and linear, ethoxylated",INCLUDE,Isononylphenol ethoxylate,37205-87-1
"4-Nonylphenol, branched and linear, ethoxylated",INCLUDE,"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",127087-87-0
"4-Nonylphenol, branched and linear, ethoxylated",INCLUDE,4-tert-Nonylphenol diethoxylate,156609-10-8
Polychlorinated naphthalenes,INCLUDE,1-Chloronaphthalene,90-13-1
Polychlorinated naphthalenes,INCLUDE,2-Chloronaphthalene,91-58-7
Polychlorinated naphthalenes,INCLUDE,"1,5-Dichloronaphthalene",1825-30-5
Polychlorinated naphthalenes,INCLUDE,"1,4-Dichloronaphthalene",1825-31-6
Polychlorinated naphthalenes,INCLUDE,"1,2-Dichloronaphthalene",2050-69-3
Polychlorinated naphthalenes,INCLUDE,"1,6-Dichloronaphthalene",2050-72-8
Polychlorinated naphthalenes,INCLUDE,"1,7-Dichloronaphthalene",2050-73-9
Polychlorinated naphthalenes,INCLUDE,"1,8-Dichloronaphthalene",2050-74-0
Polychlorinated naphthalenes,INCLUDE,"2,3-Dichloronaphthalene",2050-75-1
Polychlorinated naphthalenes,INCLUDE,"2,6-Dichloronaphthalene",2065-70-5
Polychlorinated naphthalenes,INCLUDE,"1,3-Dichloronaphthalene",2198-75-6
Polychlorinated naphthalenes,INCLUDE,"2,7-Dichloronaphthalene",2198-77-8
Polychlorinated naphthalenes,INCLUDE,Chloronaphthalene,25586-43-0
Polychlorinated naphthalenes,INCLUDE,Dichloronaphthalene,28699-88-9
Polychlorinated naphthalenes,INCLUDE,Pentachloronaphthalene,1321-64-8
Polychlorinated naphthalenes,INCLUDE,Trichloronaphthalene,1321-65-9
Polychlorinated naphthalenes,INCLUDE,Hexachloronaphthalene,1335-87-1
Polychlorinated naphthalenes,INCLUDE,Tetrachloronaphthalene,1335-88-2
Polychlorinated naphthalenes,INCLUDE,Perchloronaphthalene,2234-13-1
Polychlorinated naphthalenes,INCLUDE,"1,4,6-Trichloronaphthalene",2437-54-9
Polychlorinated naphthalenes,INCLUDE,"1,4,5-Trichloronaphthalene",2437-55-0
Polychlorinated naphthalenes,INCLUDE,"1,4,5,8-Tetrachloronaphthalene",3432-57-3
Polychlorinated naphthalenes,INCLUDE,"1,2,4,8-Tetrachloronaphthalene",6529-87-9
Polychlorinated naphthalenes,INCLUDE,"1,2,4,5-Tetrachloronaphthalene",6733-54-6
Polychlorinated naphthalenes,INCLUDE,"1,2,3,6,7,8-Hexachloronaphthalene",17062-87-2
Polychlorinated naphthalenes,INCLUDE,"1,2,3,4-Tetrachloronaphthalene",20020-02-4
Polychlorinated naphthalenes,INCLUDE,"1,3,5,8-Tetrachloronaphthalene",31604-28-1
Polychlorinated naphthalenes,INCLUDE,Heptachloronaphthalene,32241-08-0
Polychlorinated naphthalenes,INCLUDE,"2,3,6,7-Tetrachloronaphthalene",34588-40-4
Polychlorinated naphthalenes,INCLUDE,"1,2,4-Trichloronaphthalene",50402-51-2
